14,B,365,N,196
53,67,0,10000,0
54,55,0,10000,0
54,68,0,10000,0
55,69,0,10000,0
56,57,0,10000,0
56,70,0,10000,0
57,58,0,10000,0
57,71,0,10000,0
58,59,0,10000,0
58,72,0,10000,0
59,60,0,10000,0
59,73,0,10000,0
60,61,0,10000,0
60,74,0,10000,0
61,62,0,10000,0
61,75,0,10000,0
62,63,0,10000,0
62,76,0,10000,0
63,64,0,10000,0
63,77,0,10000,0
64,65,0,10000,0
64,78,0,10000,0
65,66,0,10000,0
65,79,0,10000,0
66,67,0,10000,0
66,80,0,10000,0
67,68,0,10000,0
67,81,0,10000,0
68,69,0,10000,0
68,82,0,10000,0
69,83,0,10000,0
70,71,0,10000,0
70,84,0,10000,0
71,72,0,10000,0
71,85,0,10000,0
72,73,0,10000,0
72,86,0,10000,0
73,74,0,10000,0
73,87,0,10000,0
74,75,0,10000,0
74,88,0,10000,0
75,76,0,10000,0
75,89,0,10000,0
76,77,0,10000,0
76,90,0,10000,0
77,78,0,10000,0
77,91,0,10000,0
78,79,0,10000,0
78,92,0,10000,0
79,80,0,10000,0
79,93,0,10000,0
80,81,0,10000,0
80,94,0,10000,0
81,82,0,10000,0
81,95,0,10000,0
82,83,0,10000,0
82,96,0,10000,0
83,97,0,10000,0
84,85,0,10000,0
84,98,0,10000,0
85,86,0,10000,0
85,99,0,10000,0
86,87,0,10000,0
86,100,0,10000,0
87,88,0,10000,0
87,101,0,10000,0
88,89,0,10000,0
88,102,0,10000,0
89,90,0,10000,0
89,103,0,10000,0
90,91,0,10000,0
90,104,0,10000,0
91,92,0,10000,0
91,105,0,10000,0
92,93,0,10000,0
92,106,0,10000,0
93,94,0,10000,0
93,107,0,10000,0
94,95,0,10000,0
94,108,0,10000,0
95,96,0,10000,0
95,109,0,10000,0
96,97,0,10000,0
96,110,0,10000,0
97,111,0,10000,0
98,99,0,10000,0
98,112,0,10000,0
99,100,0,10000,0
99,113,0,10000,0
100,101,0,10000,0
100,114,0,10000,0
101,102,0,10000,0
101,115,0,10000,0
102,103,0,10000,0
102,116,0,10000,0
103,104,0,10000,0
103,117,0,10000,0
104,105,0,10000,0
104,118,0,10000,0
105,106,0,10000,0
105,119,0,10000,0
106,107,0,10000,0
106,120,0,10000,0
107,108,0,10000,0
107,121,0,10000,0
108,109,0,10000,0
108,122,0,10000,0
109,110,0,10000,0
109,123,0,10000,0
110,111,0,10000,0
110,124,0,10000,0
111,125,0,10000,0
112,113,0,10000,0
112,126,0,10000,0
113,114,0,10000,0
113,127,0,10000,0
114,115,0,10000,0
114,128,0,10000,0
115,116,0,10000,0
115,129,0,10000,0
116,117,0,10000,0
116,130,0,10000,0
117,118,0,10000,0
117,131,0,10000,0
118,119,0,10000,0
118,132,0,10000,0
119,120,0,10000,0
119,133,0,10000,0
120,121,0,10000,0
120,134,0,10000,0
121,122,0,10000,0
121,135,0,10000,0
122,123,0,10000,0
122,136,0,10000,0
123,124,0,10000,0
123,137,0,10000,0
124,125,0,10000,0
124,138,0,10000,0
125,139,0,10000,0
126,127,0,10000,0
126,140,0,10000,0
127,128,0,10000,0
127,141,0,10000,0
128,129,0,10000,0
128,142,0,10000,0
129,130,0,10000,0
129,143,0,10000,0
130,131,0,10000,0
130,144,0,10000,0
131,132,0,10000,0
131,145,0,10000,0
132,133,0,10000,0
132,146,0,10000,0
133,134,0,10000,0
133,147,0,10000,0
134,135,0,10000,0
134,148,0,10000,0
135,136,0,10000,0
135,149,0,10000,0
136,137,0,10000,0
136,150,0,10000,0
137,138,0,10000,0
137,151,0,10000,0
138,139,0,10000,0
138,152,0,10000,0
139,153,0,10000,0
140,141,0,10000,0
140,154,0,10000,0
141,142,0,10000,0
141,155,0,10000,0
142,143,0,10000,0
142,156,0,10000,0
143,144,0,10000,0
143,157,0,10000,0
144,145,0,10000,0
144,158,0,10000,0
145,146,0,10000,0
145,159,0,10000,0
146,147,0,10000,0
146,160,0,10000,0
147,148,0,10000,0
147,161,0,10000,0
148,149,0,10000,0
148,162,0,10000,0
149,150,0,10000,0
149,163,0,10000,0
150,151,0,10000,0
150,164,0,10000,0
151,152,0,10000,0
151,165,0,10000,0
152,153,0,10000,0
152,166,0,10000,0
153,167,0,10000,0
154,155,0,10000,0
154,168,0,10000,0
155,156,0,10000,0
155,169,0,10000,0
156,157,0,10000,0
156,170,0,10000,0
157,158,0,10000,0
157,171,0,10000,0
158,159,0,10000,0
158,172,0,10000,0
159,160,0,10000,0
159,173,0,10000,0
160,161,0,10000,0
160,174,0,10000,0
161,162,0,10000,0
161,175,0,10000,0
162,163,0,10000,0
162,176,0,10000,0
163,164,0,10000,0
163,177,0,10000,0
164,165,0,10000,0
164,178,0,10000,0
165,166,0,10000,0
165,179,0,10000,0
166,167,0,10000,0
166,180,0,10000,0
167,181,0,10000,0
168,169,0,10000,0
168,182,0,10000,0
169,170,0,10000,0
169,183,0,10000,0
170,171,0,10000,0
170,184,0,10000,0
171,172,0,10000,0
171,185,0,10000,0
172,173,0,10000,0
172,186,0,10000,0
173,174,0,10000,0
173,187,0,10000,0
174,175,0,10000,0
174,188,0,10000,0
175,176,0,10000,0
175,189,0,10000,0
176,177,0,10000,0
176,190,0,10000,0
177,178,0,10000,0
177,191,0,10000,0
178,179,0,10000,0
178,192,0,10000,0
179,180,0,10000,0
179,193,0,10000,0
180,181,0,10000,0
180,194,0,10000,0
181,195,0,10000,0
182,183,0,10000,0
183,184,0,10000,0
184,185,0,10000,0
185,186,0,10000,0
186,187,0,10000,0
187,188,0,10000,0
188,189,0,10000,0
189,190,0,10000,0
190,191,0,10000,0
191,192,0,10000,0
192,193,0,10000,0
193,194,0,10000,0
194,195,0,10000,0
